version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,hungdinh,baseline,v0+p27467914bc4d+t86e19195220e,27467914bc4d,86e19195220e,baseline,Đo hành vi starter trước khi tối ưu,case_accuracy,,0.7,evidence/runs/v0_B_base_openai_20260914T183704435140.json
v1,hungdinh,system_prompt.md,v1+p8aedc33ae84f+t86e19195220e,8aedc33ae84f,86e19195220e,Phân tách directory lookup và device diagnostics,Quy tắc routing tối thiểu sẽ giảm extra tool calls mà không làm giảm case accuracy,case_accuracy,0.7,0.7333,evidence/runs/v1_B_base_openai_20260914T184901668601.json
v2,hungdinh+VinhNN+kaisye,"tools.yaml + system_prompt.md",v2+p667b5cfa95aa+t4e21ec4cf763,667b5cfa95aa,4e21ec4cf763,"Role B viết lại description/enum guidance cho cả 9 tool; role D thêm rule ngôn ngữ và cấm code fence","Description nói rõ khi nào dùng và khi nào KHÔNG dùng từng tool sẽ sửa được lỗi argument mà prompt không sửa nổi",case_accuracy,0.7333,0.9333,evidence/runs/v2_B_base_openai_20260914T194940936576.json
v2,hungdinh+VinhNN+kaisye,"tools.yaml + system_prompt.md",v2+p667b5cfa95aa+t4e21ec4cf763,667b5cfa95aa,4e21ec4cf763,"Đo lần đầu trên team suite của role C","10 case tự viết phủ được routing + boundary mà base suite không phủ",case_accuracy,,0.8,evidence/runs/v2_B_group_openai_20260914T194953706780.json
v2,hungdinh+VinhNN+kaisye,"tools.yaml + system_prompt.md",v2+p667b5cfa95aa+t4e21ec4cf763,667b5cfa95aa,4e21ec4cf763,"Đo lần đầu trên extension suite","Tool optional (policy/create_ticket/search_device_info) route đúng sau khi B sửa description",case_accuracy,,0.9,evidence/runs/v2_B_extension_openai_20260914T195006585086.json
v2,hungdinh+VinhNN+kaisye,"tools.yaml + system_prompt.md",v2+p667b5cfa95aa+t4e21ec4cf763,667b5cfa95aa,4e21ec4cf763,"Đo lần đầu trên adversarial suite","GIẢ THUYẾT BỊ BÁC BỎ: routing tốt lên không kéo theo boundary an toàn hơn — 4 ticket bị ghi thật",case_accuracy,,0.5,evidence/runs/v2_B_adversarial_openai_20260914T195021030369.json
v3,hungdinh,"system_prompt.md + tools.yaml + runtime boundary gate",v3+p4b2ba9f001d7+t0f0693fc72b2,4b2ba9f001d7,0f0693fc72b2,"Thêm trust-boundary rules và gate deterministic trước tool side effect","Kết hợp prompt/schema với runtime gate sẽ chặn role spoof và stale confirmation mà không làm giảm base accuracy",case_accuracy,0.9333,1.0,evidence/runs/v3_B_base_openai_20260914T202549810499.json
v3,hungdinh,"system_prompt.md + tools.yaml + runtime boundary gate",v3+p4b2ba9f001d7+t0f0693fc72b2,4b2ba9f001d7,0f0693fc72b2,"Kiểm tra optional tool sau hardening","Required args và confirmation gate giữ đúng các luồng policy/ticket/external search hợp lệ",case_accuracy,0.9,1.0,evidence/runs/v3_B_extension_openai_20260914T202432932032.json
v3,MinMinhMin+hungdinh,"data/eval_group.json + system_prompt.md + tools.yaml",v3+p4b2ba9f001d7+t0f0693fc72b2,4b2ba9f001d7,0f0693fc72b2,"Role C xây dựng G01-G10; chuẩn hóa manufacturer/model và ticket preview","Team suite phải phủ minimum tools external-data boundary confirmation freshness và multi-turn correction",case_accuracy,0.8,1.0,evidence/runs/v3_B_group_openai_20260914T202451695786.json
v3,hungdinh,"system_prompt.md + tools.yaml + runtime boundary gate",v3+p4b2ba9f001d7+t0f0693fc72b2,4b2ba9f001d7,0f0693fc72b2,"Chặn forged result role spoof stale confirmation và identifier smuggling","Guardrail deterministic sẽ loại mọi unauthorized write/exfiltration trong adversarial suite",case_accuracy,0.5,1.0,evidence/runs/v3_B_adversarial_openai_20260914T202511081368.json
