run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H01_service_status_routing,False,wrong_tool,,check_service_status,check_service_status,True,True,True,
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H02_device_routing,False,wrong_tool,,inspect_device,inspect_device,True,True,True,
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H03_kb_routing,False,wrong_tool,,search_kb,search_kb,True,True,True,
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H04_user_routing,False,wrong_tool,extra_tool_call,lookup_user,lookup_user|inspect_device,False,False,False,extra tool call inspect_device
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H05_device_check_arg,False,wrong_arg_value,,inspect_device,inspect_device,True,True,True,
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H06_environment_arg,False,wrong_arg_value,,check_service_status,check_service_status,True,True,True,
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H07_format_report,False,wrong_arg_value,,format_incident_report,format_incident_report,True,True,True,
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H09_meta_no_tool,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H10_missing_asset,False,missing_info,missing_tool_call,clarify,inspect_device,False,False,False,missing tool call clarify; extra tool call inspect_device
v0_B_base_openai_20260914T183704435140,v0,v0+p27467914bc4d+t86e19195220e,base,H11_missing_employee,False,missing_info,missing_tool_call,clarify,lookup_user,False,False,False,missing tool call clarify; extra tool call lookup_user
